,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Paso de Carrasco,-34.86,-56.05,71.86999999999996,60,0,6.2
1,Catio,11.28,-15.25,67.58599999999997,82,0,0.93
2,Qaanaaq,77.48,-69.36,-14.854000000000006,59,100,1.55
3,Butaritari,3.07,172.79,79.592,90,100,6.04
4,Punta Arenas,-53.15,-70.92,50.26999999999996,75,40,4.6
5,Barrow,71.29,-156.79,-27.12999999999999,74,20,4.1
6,Fortuna,40.6,-124.16,49.26199999999996,87,90,2.6
7,Ushuaia,-54.8,-68.3,46.66999999999996,70,40,2.6
8,Rikitea,-23.12,-134.97,79.26799999999999,79,100,7.91
9,Aklavik,68.22,-135.01,-23.529999999999994,74,5,1.0
10,Nikolskoye,59.7,30.79,35.27599999999999,95,90,3.0
11,Atuona,-9.8,-139.03,81.96799999999999,76,0,6.02
12,Tawang,27.58,91.87,43.23200000000001,35,0,1.02
13,Syracuse,37.09,15.28,54.266000000000005,87,45,1.5
14,Mataura,-46.19,168.86,55.274000000000015,89,75,2.68
15,Hithadhoo,-0.6,73.08,82.47200000000004,75,41,1.78
16,Kapaa,22.08,-159.32,77.26999999999995,73,75,6.7
17,Cidreira,-30.18,-50.21,74.26400000000004,76,0,12.56
18,Coahuayana Viejo,18.73,-103.68,71.86999999999996,78,40,1.92
19,Bluff,-46.6,168.33,55.274000000000015,89,85,2.68
20,Broome,42.25,-75.83,36.266000000000005,96,90,4.1
21,Puerto Ayora,-0.74,-90.35,77.97200000000004,85,23,4.46
22,Hermanus,-34.42,19.23,68.26999999999995,89,1,0.89
23,Albany,42.6,-73.97,40.26199999999996,48,90,3.6
24,Port Elizabeth,-33.92,25.57,62.86999999999996,93,1,1.5
25,Yellowknife,62.46,-114.35,-19.73200000000002,68,75,4.6
26,Trairi,-3.28,-39.27,74.31799999999998,94,56,0.61
27,Yarim,14.3,44.38,47.62400000000001,83,100,3.12
28,Busselton,-33.65,115.33,85.26199999999996,64,0,2.24
29,Tasiilaq,65.61,-37.64,17.41999999999996,81,100,17.84
30,Jamestown,42.1,-79.24,33.27799999999996,100,90,3.1
