,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Naze,JP,28.37,129.48,66.46999999999997,52,75,3.1
1,Ereymentau,KZ,51.62,73.1,15.116000000000007,81,61,8.27
2,New Norfolk,AU,-42.78,147.06,70.26799999999999,39,40,7.2
3,Faanui,PF,-16.48,-151.75,83.084,76,100,8.09
4,Albany,US,42.6,-73.97,26.86999999999996,45,75,3.6
5,Hilo,US,19.73,-155.09,73.66999999999996,78,90,4.1
6,Cape Town,ZA,-33.93,18.42,69.27799999999996,100,75,8.2
7,Mataura,NZ,-46.19,168.86,73.41799999999998,58,91,3.56
8,Waitati,NZ,-45.75,170.57,63.266000000000005,78,95,0.45
9,Soyo,AO,-6.13,12.37,75.45199999999997,86,91,1.48
10,Bredasdorp,ZA,-34.53,20.04,70.06999999999996,88,58,4.1
11,Cabo San Lucas,MX,22.89,-109.91,71.86999999999996,60,5,2.1
12,East London,ZA,-33.02,27.91,70.06999999999996,94,100,3.6
13,Sao Filipe,CV,14.9,-24.5,72.55399999999995,61,56,9.39
14,Aketi,CD,2.74,23.78,71.07799999999997,89,24,0.93
15,Thompson,CA,55.74,-97.86,7.069999999999958,50,75,5.7
16,Fairbanks,US,64.84,-147.72,19.66999999999996,85,90,2.6
17,Yellowknife,CA,62.46,-114.35,8.869999999999958,84,75,4.6
18,Ribeira Grande,PT,38.52,-28.7,53.86999999999996,54,40,2.6
19,Kletskaya,RU,49.31,43.06,34.26799999999999,95,100,2.45
20,Husavik,IS,66.04,-17.34,35.86999999999996,97,90,5.1
21,Hermanus,ZA,-34.42,19.23,66.27200000000005,97,71,6.21
22,Hazorasp,UZ,41.32,61.07,26.86999999999996,86,66,4.1
23,Punta Arenas,CL,-53.15,-70.92,46.66999999999996,52,75,5.1
24,Chokurdakh,RU,70.63,147.92,-11.271999999999984,90,72,3.17
25,Verkhnyaya Inta,RU,65.98,60.31,27.98599999999997,96,100,4.59
26,North Bend,US,43.41,-124.22,51.27799999999996,75,1,2.6
27,Baracoa,CU,20.35,-74.5,78.53000000000004,81,3,8.24
28,Samarai,PG,-10.62,150.67,91.45399999999995,51,100,0.72
29,La Ronge,CA,55.1,-105.28,8.869999999999958,65,40,3.6
30,Saint-Philippe,RE,-21.36,55.77,77.26999999999995,50,75,2.6
31,Narsaq,GL,60.92,-46.05,7.069999999999958,46,86,4.1
32,Atuona,PF,-9.8,-139.03,82.25600000000003,79,27,7.85
33,Klaksvik,FO,62.23,-6.59,37.66999999999996,74,100,13.9
34,Bagratashen,AM,41.24,44.82,41.26999999999996,60,99,1.5
35,Ushuaia,AR,-54.8,-68.3,48.469999999999956,87,90,10.8
36,Mar del Plata,AR,-38.0,-57.56,62.27599999999999,87,40,8.2
37,Erenhot,CN,43.65,111.98,26.456000000000028,70,100,9.56
38,Lebu,CL,-37.62,-73.65,56.101999999999975,64,0,3.93
39,Seymchan,RU,62.88,152.43,-13.486000000000018,93,100,1.63
40,Tuktoyaktuk,CA,69.45,-133.04,10.669999999999959,85,90,3.1
41,Flinders,AU,-34.58,150.86,77.26999999999995,43,4,4.6
42,Rikitea,PF,-23.12,-134.97,78.89000000000001,79,21,5.86
43,Guanica,PR,17.97,-66.91,77.26999999999995,91,0,1.6
44,Tunceli,TR,39.11,39.55,34.06999999999996,100,75,2.6
45,Longyearbyen,SJ,78.22,15.64,8.869999999999958,60,75,9.8
46,Nanortalik,GL,60.14,-45.24,17.222000000000037,67,100,2.85
47,Bubaque,GW,11.28,-15.83,79.30399999999995,72,64,7.51
48,Mahebourg,MU,-20.41,57.7,79.06999999999996,78,40,3.6
49,Cidreira,BR,-30.18,-50.21,75.57799999999997,78,0,5.89
50,Alice Springs,AU,-23.7,133.88,89.86999999999996,11,0,4.6
51,Avarua,CK,-21.21,-159.78,79.06999999999996,94,100,5.7
52,Kapaa,US,22.08,-159.32,79.06999999999996,73,90,10.8
53,Jamestown,US,42.1,-79.24,26.86999999999996,73,90,2.6
54,Te Anau,NZ,-45.42,167.72,61.84399999999997,71,92,0.54
55,Ranong,TH,9.97,98.63,86.26999999999995,66,75,1.5
56,Sorland,NO,67.67,12.69,36.23000000000004,68,69,8.83
57,Touros,BR,-5.2,-35.46,77.26999999999995,94,75,1.5
58,George Town,MY,5.41,100.34,88.06999999999996,58,20,3.1
59,Torbay,CA,47.67,-52.73,32.26999999999996,80,75,12.3
60,Codrington,AU,-38.27,141.97,58.71199999999996,71,99,5.23
61,Tessalit,ML,20.2,1.01,65.20999999999998,15,7,6.73
62,Cherskiy,RU,68.75,161.3,-18.813999999999986,95,98,2.09
63,De Aar,ZA,-30.65,24.01,66.74000000000002,82,0,2.32
64,Quatre Cocos,MU,-20.21,57.76,79.06999999999996,78,40,3.6
65,Hong Kong,HK,22.29,114.16,71.27599999999998,45,20,5.7
66,Clyde River,CA,70.47,-68.59,-12.72999999999999,83,90,7.7
67,Farafangana,MG,-22.82,47.83,80.47400000000002,75,100,6.19
68,Fort Nelson,CA,58.81,-122.7,12.46999999999996,85,20,1.0
69,Severo-Yeniseyskiy,RU,60.37,93.04,18.42799999999996,91,100,5.74
